id;ident;iata;name;latitude_deg;longitude_deg
394;EDTD;ZQL;Donaueschingen-Villingen Airport;47.97333145;8.522221565
399;EDVE;BWE;Braunschweig-Wolfsburg Airport;52.319199;10.5561
400;EDVK;KSF;Kassel-Calden Airport;51.417273;9.384967
402;EDWB;BRV;Bremerhaven Airport;53.506943;8.572778
403;EDWE;EME;Emden Airport;53.391109;7.2275
405;EDWI;WVN;Wilhelmshaven-Mariensiel Airport;53.50222015;8.052222252
406;EDWR;BMK;Borkum Airport;53.59639;6.709167
407;EDWY;NRD;Norderney Airport;53.70694351;7.230000019
408;EDXF;FLF;Flensburg-Schaferhaus Airport;54.7733345;9.378889084
410;EDXW;GWT;Westerland Sylt Airport;54.91320038;8.340470314
412;EEKA;KDL;Kardla Airport;58.99079895;22.83069992
413;EEKE;URE;Kuressaare Airport;58.22990036;22.5095005
414;EEPU;EPU;Parnu Airport;58.41899872;24.4727993
415;EETN;TLL;Lennart Meri Tallinn Airport;59.41329956;24.83279991
416;EETU;TAY;Tartu Airport;58.30749893;26.69039917
417;EFET;ENF;Enontekio Airport;68.36260223;23.42429924
419;EFHA;KEV;Halli Airport;61.856039;24.786686
420;EFHF;HEM;Helsinki Malmi Airport;60.25460052;25.0428009
421;EFHK;HEL;Helsinki Vantaa Airport;60.31719971;24.9633007
424;EFHV;HYV;Hyvinkaa Airfield;60.65439987;24.8810997
427;EFIT;KTQ;Kitee Airport;62.1661;30.073601
428;EFIV;IVL;Ivalo Airport;68.6072998;27.40530014
429;EFJO;JOE;Joensuu Airport;62.66289902;29.60750008
430;EFJY;JYV;Jyvaskyla Airport;62.3995018;25.67830086
431;EFKA;KAU;Kauhava Airport;63.127102;23.051399
432;EFKE;KEM;Kemi-Tornio Airport;65.77870178;24.58209991
433;EFKI;KAJ;Kajaani Airport;64.28549957;27.69239998
434;EFKJ;KHJ;Kauhajoki Airport;62.46250153;22.39310074
435;EFKK;KOK;Kokkola-Pietarsaari Airport;63.72119904;23.14310074
437;EFKS;KAO;Kuusamo Airport;65.98760223;29.23940086
438;EFKT;KTT;Kittila Airport;67.7009964;24.84679985
439;EFKU;KUO;Kuopio Airport;63.00709915;27.79780006
440;EFLA;QLF;Lahti Vesivehmaa Airport;61.144199;25.693501
441;EFLP;LPP;Lappeenranta Airport;61.044601;28.144743
442;EFMA;MHQ;Mariehamn Airport;60.12220001;19.89819908
444;EFMI;MIK;Mikkeli Airport;61.6866;27.201799
446;EFOU;OUL;Oulu Airport;64.93009949;25.35460091
448;EFPO;POR;Pori Airport;61.46170044;21.79999924
453;EFRO;RVN;Rovaniemi Airport;66.56479645;25.83040047
455;EFSA;SVL;Savonlinna Airport;61.94309998;28.94510078
457;EFSO;SOT;Sodankyla Airport;67.39499664;26.61910057
458;EFTP;TMP;Tampere-Pirkkala Airport;61.41410065;23.60440063
460;EFTU;TKU;Turku Airport;60.51409912;22.26280022
461;EFUT;UTI;Utti Air Base;60.89640045;26.93840027
462;EFVA;VAA;Vaasa Airport;63.05070114;21.7621994
463;EFVR;VRK;Varkaus Airport;62.17110062;27.86860085
464;EFYL;YLI;Ylivieska Airfield;64.0547222;24.7252778
465;EGAA;BFS;Belfast International Airport;54.65750122;-6.215829849
466;EGAB;ENK;St Angelo Airport;54.39889908;-7.651669979
467;EGAC;BHD;George Best Belfast City Airport;54.61809921;-5.872499943
468;EGAE;LDY;City of Derry Airport;55.0428009;-7.161109924
469;EGBB;BHX;Birmingham International Airport;52.45389938;-1.748029947
470;EGBE;CVT;Coventry Airport;52.36970139;-1.479719996
472;EGBJ;GLO;Gloucestershire Airport;51.89419937;-2.167220116
475;EGBP;GBA;Cotswold Airport;51.668095;-2.05694
478;EGCC;MAN;Manchester Airport;53.35369873;-2.274950027
481;EGHQ;NQY;Newquay Cornwall Airport;50.44060135;-4.995409966
482;EGDL;LYE;RAF Lyneham;51.5051;-1.99343
486;EGDY;YEO;RNAS Yeovilton;51.00939941;-2.638819933
487;EGFE;HAW;Haverfordwest Airport;51.83309937;-4.961110115
488;EGFF;CWL;Cardiff International Airport;51.39670181;-3.343329906
489;EGFH;SWS;Swansea Airport;51.6053009;-4.067830086
490;EGGD;BRS;Bristol Airport;51.382702;-2.71909
491;EGGP;LPL;Liverpool John Lennon Airport;53.33359909;-2.849720001
492;EGGW;LTN;London Luton Airport;51.87469864;-0.368333012
493;EGHD;PLH;Plymouth City Airport;50.422798;-4.10583
494;EGHH;BOH;Bournemouth Airport;50.77999878;-1.842499971
